Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_7_69,VGND,li1,40.0200,32.6400,0.000001
FILLER_7_57,VGND,li1,34.5000,32.6400,0.000001
FILLER_7_54,VGND,li1,30.8200,32.6400,0.000000
FILLER_7_46,VGND,li1,28.5200,32.6400,0.000000
FILLER_7_40,VGND,li1,24.1500,32.6400,0.000000
FILLER_7_34,VGND,li1,22.5400,32.6400,0.000000
FILLER_7_14,VGND,li1,12.6500,32.6400,0.000000
FILLER_7_7,VGND,li1,9.2000,32.6400,0.000000
FILLER_6_103,VGND,li1,53.5900,27.2000,0.000003
FILLER_6_80,VGND,li1,42.5500,27.2000,0.000003
FILLER_6_7,VGND,li1,8.9700,27.2000,0.000002
FILLER_5_73,VGND,li1,39.3300,27.2000,0.000003
FILLER_5_65,VGND,li1,37.2600,27.2000,0.000003
FILLER_5_52,VGND,li1,30.3600,27.2000,0.000002
FILLER_5_43,VGND,li1,25.7600,27.2000,0.000002
FILLER_5_35,VGND,li1,23.4600,27.2000,0.000001
FILLER_5_25,VGND,li1,17.7100,27.2000,0.000002
FILLER_5_11,VGND,li1,11.9600,27.2000,0.000002
FILLER_5_3,VGND,li1,7.1300,27.2000,0.000002
FILLER_4_81,VGND,li1,43.4700,21.7600,0.000008
FILLER_4_15,VGND,li1,13.8000,21.7600,0.000005
FILLER_4_3,VGND,li1,9.6600,21.7600,0.000004
FILLER_3_113,VGND,li1,57.7300,21.7600,0.000009
FILLER_3_111,VGND,li1,56.8100,21.7600,0.000009
FILLER_3_82,VGND,li1,43.7000,21.7600,0.000009
FILLER_3_65,VGND,li1,36.1100,21.7600,0.000008
FILLER_3_45,VGND,li1,26.4500,21.7600,0.000012
FILLER_3_3,VGND,li1,8.7400,21.7600,0.000004
FILLER_2_113,VGND,li1,57.7300,16.3200,0.000004
FILLER_2_85,VGND,li1,44.8500,16.3200,0.000004
FILLER_2_82,VGND,li1,43.7000,16.3200,0.000003
FILLER_2_78,VGND,li1,41.6300,16.3200,0.000003
FILLER_2_32,VGND,li1,20.4700,16.3200,0.000003
FILLER_2_7,VGND,li1,8.9700,16.3200,0.000003
FILLER_2_3,VGND,li1,7.8200,16.3200,0.000003
FILLER_1_116,VGND,li1,59.3400,16.3200,0.000004
FILLER_1_91,VGND,li1,47.6100,16.3200,0.000004
FILLER_1_70,VGND,li1,37.9500,16.3200,0.000003
FILLER_1_55,VGND,li1,31.0500,16.3200,0.000003
FILLER_1_39,VGND,li1,23.9200,16.3200,0.000004
FILLER_1_16,VGND,li1,13.5700,16.3200,0.000003
FILLER_1_3,VGND,li1,8.2800,16.3200,0.000003
FILLER_0_113,VGND,li1,57.9600,10.8800,0.000000
FILLER_0_102,VGND,li1,53.3600,10.8800,0.000000
FILLER_0_88,VGND,li1,46.4600,10.8800,0.000000
FILLER_0_57,VGND,li1,32.2000,10.8800,0.000000
FILLER_0_50,VGND,li1,28.9800,10.8800,0.000000
FILLER_0_38,VGND,li1,25.7600,10.8800,0.000000
FILLER_0_29,VGND,li1,19.3200,10.8800,0.000000
FILLER_0_23,VGND,li1,16.3300,10.8800,0.000000
FILLER_0_15,VGND,li1,14.2600,10.8800,0.000000
FILLER_0_3,VGND,li1,9.6600,10.8800,0.000000
hold25,VGND,li1,46.4600,43.5200,0.000003
hold24,VGND,li1,55.2000,38.0800,0.000002
hold23,VGND,li1,54.7400,21.7600,0.000009
hold22,VGND,li1,55.2000,65.2800,0.000000
hold21,VGND,li1,44.1600,43.5200,0.000003
hold20,VGND,li1,46.0000,38.0800,0.000003
hold19,VGND,li1,46.0000,32.6400,0.000002
hold18,VGND,li1,53.3600,59.8400,0.000001
hold17,VGND,li1,55.2000,48.9600,0.000009
hold16,VGND,li1,33.5800,21.7600,0.000008
hold15,VGND,li1,39.1000,27.2000,0.000003
hold14,VGND,li1,50.6000,48.9600,0.000011
hold13,VGND,li1,15.1800,27.2000,0.000002
hold12,VGND,li1,31.2800,59.8400,0.000001
hold11,VGND,li1,14.7200,48.9600,0.000006
hold10,VGND,li1,57.5000,59.8400,0.000001
hold9,VGND,li1,25.7600,43.5200,0.000003
hold8,VGND,li1,38.6400,21.7600,0.000009
hold7,VGND,li1,35.8800,16.3200,0.000003
hold6,VGND,li1,15.6400,21.7600,0.000006
hold5,VGND,li1,19.3200,21.7600,0.000007
hold4,VGND,li1,24.8400,59.8400,0.000001
hold3,VGND,li1,51.0600,21.7600,0.000009
hold2,VGND,li1,56.1200,27.2000,0.000003
hold1,VGND,li1,48.7600,10.8800,0.000000
clkload2,VGND,li1,21.3900,43.5200,0.000004
clkload1,VGND,li1,47.1500,27.2000,0.000005
clkload0,VGND,li1,23.6900,21.7600,0.000009
clkbuf_2_3__f_clk,VGND,li1,49.2200,48.9600,0.000011
clkbuf_2_2__f_clk,VGND,li1,23.4600,48.9600,0.000008
clkbuf_2_1__f_clk,VGND,li1,49.2200,21.7600,0.000012
